Regions,Disparity Ratio_Full Time_BABS_NBWNH-FBRace,Score_Full Time_BABS_NBWNH-FBRace,Grades_Full Time_BABS_NBWNH-FBRace,Disparity Ratio-Unemployment_BABS_NBWNH-FBRace,Score_Unemployment_BABS_NBWNH-FBRace,Grades_Unemployment_BABS_NBWNH-FBRace,Disparity Ratio_Poverty_BABS_NBWNH-FBRace,Score_Poverty_BABS_NBWNH-FBRace,Grades_Poverty_BABS_NBWNH-FBRace,Disparity Ratio_Working Poor_BABS_NBWNH-FBRace,Score_Working Poor_BABS_NBWNH-FBRace,Grades_Working Poor_BABS_NBWNH-FBRace,Disparity Ratio-Income_BABS_NBWNH-FBRace,Score_Income_BABS_NBWNH-FBRace,Grades_Income_BABS_NBWNH-FBRace,Disparity Ratio-Rent Burden_BABS_NBWNH-FBRace,Score_Rent Burden_BABS_NBWNH-FBRace,Grades_Rent Burden_BABS_NBWNH-FBRace,Disparity Ratio_Homeownership_BABS_NBWNH-FBRace,Score_Homeownership_BABS_NBWNH-FBRace,Grades_Homeownership_BABS_NBWNH-FBRace
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",0.97,-0.16,C,5.64,-1.04,D,5.58,-0.46,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.71,-0.31,C-,0.03,0.48,B-,0.71,-0.34,C-
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",1.47,2.25,A,0.00,0.41,B-,0.13,0.46,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.86,1.90,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",1.06,0.30,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.87,1.92,A,#DIV/0!,#DIV/0!,#DIV/0!,0.47,-0.99,D
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",1.10,0.48,B-,0.38,0.31,B-,2.43,0.07,C,#DIV/0!,#DIV/0!,#DIV/0!,0.72,-0.29,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.81,-0.07,C
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",1.10,0.48,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.61,-0.50,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.58,-0.70,C-
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",1.26,1.25,A-,5.48,-1.00,D,1.66,0.20,C,0.00,0.34,B-,1.24,0.71,B-,0.05,0.47,B-,2.74,5.06,A
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",1.07,0.34,B-,3.87,-0.58,C-,1.54,0.22,C,1.97,0.22,C,1.10,0.44,B-,0.19,0.40,B-,1.19,0.94,B
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",1.12,0.58,B-,1.94,-0.09,C,2.60,0.04,C,3.97,0.09,C,0.68,-0.36,C-,0.18,0.41,B-,1.34,1.33,A-
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1.08,0.40,B-,0.00,0.41,B-,3.88,-0.17,C,15.81,-0.64,C-,0.61,-0.51,C-,0.76,0.12,C,0.75,-0.25,C-
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",1.02,0.09,C,0.30,0.33,B-,2.56,0.05,C,2.68,0.17,C,0.95,0.16,C,0.10,0.45,B-,0.46,-1.03,D
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1.14,0.67,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.83,0.34,B-,3.51,0.12,C,0.65,-0.43,C-,0.09,0.45,B-,0.89,0.13,C
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",1.13,0.63,B-,0.25,0.35,B-,1.24,0.27,B-,2.42,0.19,C,0.90,0.05,C,0.43,0.29,B-,0.99,0.40,B-
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",1.03,0.12,C,#DIV/0!,#DIV/0!,#DIV/0!,1.10,0.29,B-,3.17,0.14,C,1.09,0.42,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.68,-0.43,C-
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",1.00,-0.01,C,2.97,-0.35,C-,2.79,0.01,C,4.77,0.04,C,1.02,0.29,B-,0.05,0.47,B-,1.10,0.68,B-
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",1.15,0.72,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.85,-0.04,C,1.23,-0.11,C,0.76,-0.21,C
