Regions,Disparity Ratio_Full Time_HS_FBALLM-F,Score_Full Time_HS_FBALLM-F,Grades_Full Time_HS_FBALLM-F,Disparity Ratio-Unemployment_HS_FBALLM-F,Score_Unemployment_HS_FBALLM-F,Grades_Unemployment_HS_FBALLM-F,Disparity Ratio_Poverty_HS_FBALLM-F,Score_Poverty_HS_FBALLM-F,Grades_Poverty_HS_FBALLM-F,Disparity Ratio_Working Poor_HS_FBALLM-F,Score_Working Poor_HS_FBALLM-F,Grades_Working Poor_HS_FBALLM-F,Disparity Ratio-Income_HS_FBALLM-F,Score_Income_HS_FBALLM-F,Grades_Income_HS_FBALLM-F,Disparity Ratio-Rent Burden_HS_FBALLM-F,Score_Rent Burden_HS_FBALLM-F,Grades_Rent Burden_HS_FBALLM-F,Disparity Ratio_Homeownership_HS_FBALLM-F,Score_Homeownership_HS_FBALLM-F,Grades_Homeownership_HS_FBALLM-F,Disparity Ratio_Naturalization_HS_FBALLM-F,Score_Naturalization_HS_FBALLM-F,Grades_Naturalization_HS_FBALLM-F
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",0.70,-0.87,D,2.53,0.80,B,7.32,2.20,A,#DIV/0!,#DIV/0!,#DIV/0!,0.46,-0.57,C-,0.36,-0.64,C-,0.86,-0.36,C-,0.94,-0.25,C
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",0.77,-0.54,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.61,-0.40,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.94,-0.24,C,1.04,-0.16,C
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",0.84,-0.24,C,10.71,5.37,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.22,0.30,B-,5.36,2.57,A,1.08,0.00,C,1.46,0.20,C
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",0.89,-0.02,C,0.00,-0.61,C-,0.78,-0.31,C-,0.67,-0.13,C,0.91,-0.06,C,0.21,-0.73,C-,2.28,1.97,A,1.00,-0.20,C
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",0.97,0.31,B-,1.37,0.16,C,1.52,-0.02,C,0.00,-0.64,C-,1.18,0.25,C,0.00,-0.87,D,0.71,-0.61,C-,1.54,0.27,B-
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",0.81,-0.39,C-,#DIV/0!,#DIV/0!,#DIV/0!,4.57,1.14,B,6.08,3.99,A,0.82,-0.16,C,3.64,1.46,A-,#DIV/0!,#DIV/0!,#DIV/0!,1.02,-0.17,C
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",0.97,0.30,B-,0.00,-0.61,C-,1.18,-0.15,C,0.93,0.07,C,0.98,0.03,C,0.85,-0.32,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.18,-0.04,C
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",0.85,-0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,0.18,-0.54,C-,0.19,-0.50,C-,1.02,0.06,C,0.55,-0.52,C-,0.81,-0.45,C-,0.84,-0.33,C-
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",0.84,-0.25,C,0.00,-0.61,C-,0.52,-0.41,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.17,0.23,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.89,0.57,B-
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",0.75,-0.63,C-,0.38,-0.39,C-,0.48,-0.42,C-,0.37,-0.35,C-,1.18,0.25,B-,0.66,-0.45,C-,0.07,-1.66,D-,1.16,-0.06,C
