,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership
,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS
,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,,,,,,,,,,,,,,,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,FT Work Access_BABS_Ratio,Unemployment_BABS_Ratio,Poverty_BABS_Ratio,Working Poor_BABS_Ratio,Income_BABS_Ratio,Rent Burden_BABS_Ratio,Homeownership_BABS_Ratio,FT Work Access_BABS_SCORES,Unemployment_BABS_SCORES,Poverty_BABS_SCORES,Working Poor_BABS_SCORES,Income_BABS_SCORES,Rent Burden_BABS_SCORES,Homeownership_BABS_SCORES,FT Work Access_BABS_GRADES,Unemployment_BABS_GRADES,Poverty_BABS_GRADES,Working Poor_BABS_GRADES,Income_BABS_GRADES,Rent Burden_BABS_GRADES,Homeownership_BABS_GRADES
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",1.59,0.00,0.00,#DIV/0!,0.92,#DIV/0!,1.05,1.94,0.30,0.36,#DIV/0!,-0.08,#DIV/0!,0.35,A,B-,B-,#DIV/0!,C,#DIV/0!,B-
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",1.29,0.00,0.00,0.00,0.79,#DIV/0!,0.59,0.94,0.30,0.36,0.35,-0.33,#DIV/0!,-0.62,B,B-,B-,B-,C-,#DIV/0!,C-
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",0.74,#DIV/0!,0.00,#DIV/0!,1.01,#DIV/0!,1.12,-0.90,#DIV/0!,0.36,#DIV/0!,0.10,#DIV/0!,0.48,D,#DIV/0!,B-,#DIV/0!,C,#DIV/0!,B-
"Suffolk County (East) PUMA, New York",1.33,0.00,0.00,#DIV/0!,0.74,0.10,1.13,1.09,0.30,0.36,#DIV/0!,-0.43,0.34,0.51,B,B-,B-,#DIV/0!,C-,B-,B-
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",0.98,9.43,3.25,3.49,0.36,2.17,0.98,-0.10,-1.17,0.03,-0.30,-1.14,-0.60,0.19,C,D,C,C-,D,C-,C
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",1.02,0.89,0.00,#DIV/0!,1.27,#DIV/0!,0.74,0.02,0.16,0.36,#DIV/0!,0.59,#DIV/0!,-0.30,C,C,B-,#DIV/0!,B-,#DIV/0!,C-
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",0.90,0.00,3.39,#DIV/0!,1.27,1.20,0.79,-0.38,0.30,0.02,#DIV/0!,0.58,-0.16,-0.21,C-,B-,C,#DIV/0!,B-,C,C
"Suffolk County (Central)--Islip Town (East) PUMA, New York",1.13,0.00,0.00,0.00,1.25,0.00,0.91,0.40,0.30,0.36,0.35,0.55,0.39,0.04,B-,B-,B-,B-,B-,B-,C
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",0.82,#DIV/0!,0.37,0.92,0.75,#DIV/0!,1.19,-0.64,#DIV/0!,0.32,0.18,-0.40,#DIV/0!,0.64,C-,#DIV/0!,B-,C,C-,#DIV/0!,B-
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",0.88,#DIV/0!,1.13,#DIV/0!,0.64,#DIV/0!,0.75,-0.43,#DIV/0!,0.24,#DIV/0!,-0.62,#DIV/0!,-0.29,C-,#DIV/0!,C,#DIV/0!,C-,#DIV/0!,C-
