Regions,Full Time_Ratio,Full Time_BABS_Ratio,Poverty_BABS_Ratio,Income_BABS_Ratio,Homeownership_BABS_Ratio,Unemployment_BABS_SCORES,Working Poor_BABS_SCORES,Rent Burden_BABS_SCORES,Full Time_BABS_GRADES,Poverty_BABS_GRADES,Income_BABS_GRADES
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",1.04,44.34,1.41,0.00,1.09,0.93,0.94,0.19,-4.13,0.31,0.50,0.10,0.23,0.09,C,E,B-,B-,C,C,C
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",1.07,0.00,1.09,2.55,0.81,1.17,1.17,0.31,0.30,0.41,-0.02,-0.27,0.17,0.69,B-,B-,B-,C,C-,C,B-
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",0.95,2.94,1.11,0.00,0.88,0.00,0.63,-0.20,0.01,0.40,0.50,-0.17,0.47,-0.68,C,C,B-,B-,C,B-,C-
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",0.82,0.00,2.47,14.68,0.58,0.99,0.00,-0.73,0.30,-0.03,-2.48,-0.58,0.22,-2.28,C-,B-,C,E,C-,C,E
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",1.22,#DIV/0!,2.60,7.40,0.79,1.78,0.09,0.92,#DIV/0!,-0.08,-1.00,-0.30,0.01,-2.05,B,#DIV/0!,C,D,C-,C,E
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",0.87,0.00,0.74,2.57,0.86,5.54,1.35,-0.51,0.30,0.52,-0.02,-0.20,-0.95,1.13,C-,B-,B-,C,C,D,B
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",1.00,0.00,0.31,0.00,0.95,0.42,0.39,-0.01,0.30,0.65,0.50,-0.09,0.36,-1.30,C,B-,B-,B-,C,B-,D-
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",0.84,2.60,0.78,0.80,0.63,1.40,0.08,-0.63,0.04,0.51,0.34,-0.51,0.11,-2.09,C-,C,B-,B-,C-,C,E
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1.27,1.35,0.82,#DIV/0!,0.89,2.02,1.26,1.14,0.16,0.49,#DIV/0!,-0.17,-0.05,0.92,B,C,B-,#DIV/0!,C,C,B
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",0.86,0.43,0.95,0.00,0.94,1.15,1.77,-0.56,0.26,0.45,0.50,-0.09,0.17,2.21,C-,B-,B-,B-,C,C,A
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",0.86,0.00,1.10,0.00,1.48,1.62,0.42,-0.58,0.30,0.40,0.50,0.62,0.05,-1.22,C-,B-,B-,B-,B-,C,D
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",0.88,0.00,2.43,7.07,0.83,2.39,0.77,-0.46,0.30,-0.02,-0.94,-0.25,-0.14,-0.33,C-,B-,C,D,C,C,C-
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",1.05,0.61,0.44,#DIV/0!,0.84,0.22,0.36,0.21,0.24,0.62,#DIV/0!,-0.23,0.41,-1.36,C,C,B-,#DIV/0!,C,B-,D-
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",0.88,2.99,7.55,2.20,0.96,2.76,1.24,-0.50,0.00,-1.65,0.05,-0.08,-0.24,0.86,C-,C,D-,C,C,C,B
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",0.94,0.00,0.99,0.00,0.97,0.88,1.12,-0.25,0.30,0.44,0.50,-0.06,0.24,0.55,C,B-,B-,B-,C,C,B-
