Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",0.919,0.0913151588,C,1.1306389669,0.1934353189,C,16.5843380982,5.737936284,A,#DIV/0!,#DIV/0!,#DIV/0!,0.5851821076,-0.8150204313,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.1279774416,-0.084984841,C
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",0.983,0.3648612848,B-,0.69257465,-0.3045430618,C-,1.2132079382,-0.141344409,C,2.6053933677,1.3489843518,A-,0.7509092041,-0.5431614301,C-,1.851741982,0.3175319964,B-,0,-0.6071523851,C-,1.5692923856,0.2948924786,B-
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",0.931,0.1405287781,C,0.8490947388,-0.1266157179,C,1.8940163683,0.1190569939,C,1.4228957825,0.4478780691,B-,1.0354395893,-0.0764173191,C,1.124870837,-0.1494711445,C,0,-0.6071523851,C-,0.9805864446,-0.2118568122,C
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",0.796,-0.4396327824,C-,0.7677719306,-0.2190610479,C,3.8815043345,0.8792483075,B,3.4552769103,1.9966266044,A,1.1725633982,0.1485208021,C,#DIV/0!,#DIV/0!,#DIV/0!,0,-0.6071523851,C-,1.017058429,-0.1804622721,C
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",0.922,0.1020155006,C,1.10987544,0.1698319641,C,1.2573491262,-0.1244609117,C,2.2248047782,1.0589619675,B,0.9815158781,-0.1648738635,C,#DIV/0!,#DIV/0!,#DIV/0!,0,-0.6071523851,C-,0.8721546261,-0.3051933038,C-
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",1.188,1.2461020539,B,0.6894656997,-0.3080772232,C-,0.5031539163,-0.4129319149,C-,0,-0.6364204067,C-,0.9034283225,-0.2929688178,C-,0.4010408922,-0.6145203627,C-,2.3740195479,0.7183501022,B-,1.1038510477,-0.1057524809,C
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",1.274,1.6182579952,A-,0.6150103568,-0.3927158246,C-,4.1407021955,0.9783885115,B,0,-0.6364204067,C-,1.4467307765,0.5982654195,B-,6.9005138453,3.5612875563,A,0,-0.6071523851,C-,0.8808375208,-0.2977191976,C-
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",0.386,-2.2021843691,E,0.6924151691,-0.3047243549,C-,2.690625,0.4237506436,B-,2.1035777749,0.9665825701,B,1.8963692946,1.3358531826,A-,0.7663492063,-0.3798155855,C-,0,-0.6071523851,C-,2.5495356037,1.1386712159,B
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",1.028,0.5586904125,B-,0.6037664157,-0.4054975998,C-,1.2144327619,-0.140875928,C,#DIV/0!,#DIV/0!,#DIV/0!,1.3779081829,0.485368724,B-,2.0059637421,0.4166170225,B-,2.1374137414,0.5862443724,B-,0.9089646972,-0.2735077438,C-
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",0.858,-0.1719301912,C,0.648918877,-0.3541696355,C-,0.7656206119,-0.3125414192,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.2308768118,0.2441782215,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.00766464,-0.1885483056,C
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",0.774,-0.5347429889,C-,0.5742983914,-0.4389959662,C-,1.4525022475,-0.0498170849,C,1.2634538153,0.3263774756,B-,0.2476192797,-1.3687590482,D-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.0172243653,1.5412507241,A-
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",0.858,-0.1743286778,C,1.0375228212,0.0875836764,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.2639839253,0.2984871847,B-,0.6751269036,-0.4384244631,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.345652358,0.1023864794,C
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",0.852,-0.1967809609,C,0.6474147124,-0.3558795247,C-,0.2925719837,-0.4934770848,C-,0,-0.6364204067,C-,1.1894407302,0.1762064052,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.3263762149,0.085793863,C
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",1.012,0.4886357046,B-,0.7539624615,-0.2347592383,C,0.8727597165,-0.2715619426,C-,2.3448801743,1.1504637981,B,0.9020694232,-0.2951979586,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.9393984681,0.4756851576,B-,1.2060907547,-0.0177460665,C
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",0.879,-0.0810829887,C,1.0034065215,0.0488012898,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.3491225755,-1.2022528751,D,0.0577405858,-0.8350853452,D,#DIV/0!,#DIV/0!,#DIV/0!,2.2005517418,0.8382711143,B
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",0.956,0.2505005556,B-,2.2133065848,1.4241794045,A-,0.2868642205,-0.4956602387,C-,0,-0.6364204067,C-,1.0330119301,-0.0803996553,C,0.3015197697,-0.6784610998,C-,0,-0.6071523851,C-,0.8889229905,-0.2907593459,C-
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",0.865,-0.1439987042,C,1.2733870777,0.3557070912,B-,2.5693195859,0.3773527164,B-,0,-0.6364204067,C-,2.1229615758,1.7075555326,A-,0.6917125541,-0.4277684466,C-,2.3648013468,0.7132032413,B-,0.7648447268,-0.3975640641,C-
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",0.919,0.0919626847,C,0.8128347186,-0.1678350216,C,0.9643027251,-0.2365477935,C,1.302736588,0.3563123809,B-,1.1538306399,0.1177915547,C,0.5347886985,-0.5285895261,C-,0.503955276,-0.3257756068,C-,1.1797646134,-0.0404072162,C
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",0.932,0.1442825718,C,0.643276788,-0.3605833932,C-,1.5185224274,-0.0245651245,C,1.3252203032,0.3734457918,B-,0.9844207662,-0.1601086803,C,1.0448130588,-0.2009069927,C,0,-0.6071523851,C-,0.893328942,-0.2869667686,C-
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",0.970,0.3112325922,B-,1.3933209474,0.4920443181,B-,0.4230470209,-0.443571882,C-,0.2513237781,-0.4449025227,C-,0.7589490407,-0.5299728689,C-,0.3420681596,-0.6524094047,C-,0.8309621115,-0.1431956554,C,0.9021209815,-0.2793987122,C-
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1.016,0.5084386236,B-,0.6641451646,-0.3368608483,C-,0.5397449947,-0.3989362478,C-,0.1664018234,-0.509616149,C-,0.9788057746,-0.1693195217,C,1.2140397187,-0.0921815574,C,5.3821184782,2.3978824455,A,0.8246231396,-0.3461076982,C-
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",0.955,0.2447885637,C,0.9720042141,0.0131040884,C,0.6125953409,-0.3710718273,C-,0.3257958293,-0.3881521038,C-,1.0693381055,-0.0208101375,C,0.4456224563,-0.5858774174,C-,0.0599620587,-0.5736733609,C-,0.9085435153,-0.2738702909,C-
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",0.938,0.1737096676,C,0.9391585665,-0.024233859,C,0.2405470063,-0.513376041,C-,0,-0.6364204067,C-,1.0879266986,0.009682621,C,0.0956289334,-0.810742685,D,0,-0.6071523851,C-,1.0956382738,-0.1128219142,C
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",0.923,0.105606433,C,1.0541943117,0.1065353269,C,0.7473698971,-0.3195221079,C-,0.4820175143,-0.2691054828,C-,0.861819879,-0.3612233768,C-,0.961103245,-0.2546892157,C-,0.8339741981,-0.1415138966,C,0.9563696422,-0.2327022744,C
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",0.792,-0.4556584956,C-,1.0548645461,0.1072972293,C,1.1402786382,-0.1692390284,C,0.6459567063,-0.1441778401,C,0.8094954153,-0.447056513,C-,0.8964577023,-0.2962229479,C-,4.5864527629,1.9536329928,A,1.1037714838,-0.1058209683,C
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",0.864,-0.1477270849,C,0.7472527179,-0.2423866736,C,1.990233798,0.1558590554,C,0.7977941176,-0.0284721955,C,0.9404755075,-0.2321965548,C,2.1050018668,0.4802474412,B-,1.5044572137,0.2328414476,C,1.1340590919,-0.0797498471,C
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",0.919,0.088718815,C,0.8450690538,-0.1311919958,C,1.3041319464,-0.1065670205,C,0.3805125932,-0.3464559343,C-,1.0567390443,-0.0414776581,C,2.1344953795,0.4991965537,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.0292591771,-0.1699600503,C
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",0.946,0.2057956712,C,1.1326417511,0.1957120239,C,3.3058721768,0.6590756204,B-,2.8772068336,1.5561161251,A-,1.0168518404,-0.106908693,C,#DIV/0!,#DIV/0!,#DIV/0!,0.4022696397,-0.38255044,C-,1.0098615648,-0.1866572255,C
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",0.980,0.3536705683,B-,0.7360422678,-0.2551303771,C-,1.5701878571,-0.0048036913,C,1.4786177718,0.490340257,B-,1.0607864099,-0.0348383531,C,2.3971948344,0.667976772,B-,1.7063056542,0.3455408607,B-,1.1019075779,-0.1074253907,C
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",0.954,0.2404687281,C,1.0168984907,0.0641385559,C,1.2980480349,-0.1088940467,C,0.6610106804,-0.1327061628,C,1.9010654564,1.3435567742,A-,1.1893361362,-0.1080532159,C,4.5157647059,1.914165249,A,0.8036500699,-0.3641610037,C-
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",0.868,-0.1309161335,C,0.544492823,-0.4728780426,C-,0.8482719594,-0.2809282283,C-,0,-0.6364204067,C-,1.0405328518,-0.068062323,C,0.9645185469,-0.2524949386,C-,1.8926583172,0.4495884111,B-,0.8677789304,-0.3089598374,C-
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",0.894,-0.0181411666,C,0.9246998795,-0.0406700608,C,1.3673515548,-0.0823862466,C,0,-0.6364204067,C-,0.7857357899,-0.4860318415,C-,1.2905612295,-0.0430177046,C,0.8500436647,-0.1325417219,C,0.8837057979,-0.2952502274,C-
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",1.100,0.8678664143,B,0.8843407855,-0.0865490688,C,0.3100905068,-0.486776451,C-,0.3341232629,-0.3818062957,C-,0.9036540103,-0.2925985992,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.676026802,0.3286350632,B-,1.0387932175,-0.1617532905,C
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",0.729,-0.7257936621,C-,0.841756999,-0.1349570405,C,1.2156619715,-0.1404057695,C,0.9716244267,0.1039928392,C,1.1400355692,0.095162098,C,3.5190991441,1.3887824334,A-,1.3397782333,0.1408951119,C,0.9955144398,-0.1990070166,C
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",1.008,0.4728494246,B-,1.3124484961,0.4001109404,B-,0.1244047994,-0.5577991008,C-,0,-0.6364204067,C-,1.0275399666,-0.0893758732,C,0.4669391496,-0.5721817813,C-,1.9646704007,0.4897954076,B-,1.4398216655,0.1834460143,C
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",0.927,0.1248759626,C,0.7692362757,-0.2173964243,C,1.32828224,-0.0973298107,C,1.4556256848,0.4728194482,B-,0.829846358,-0.4136727932,C-,0.8683773387,-0.3142641345,C-,1.5861256637,0.2784399489,B-,0.9451484155,-0.2423613389,C
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",0.854,-0.1913870054,C,0.9937617871,0.037837445,C,0,-0.6053825073,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.887655084,-0.3188432643,C-,#DIV/0!,#DIV/0!,#DIV/0!,0,-0.6071523851,C-,0.9312629619,-0.2543137302,C-
