Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Score_Overall,Grades_OVERALL
"Warren & Washington Counties PUMA, New York",0.244,-1.6469136986,D-,0.3288455056,-1.0982257691,D,0.9094176851,0.3947638639,B-,13.8542780749,-0.5975832227,C-,1.3467093695,1.0008700745,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.274179212,-0.3586576917,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.3091399536,0.9319939519,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.719,-0.5981427009,C-,0.9237488228,0.3480082625,B-,2.6435210118,-0.5625541731,C-,1.6836363636,0.2555257906,B-,0.9914051902,0.3494898597,B-,4.6623726977,-1.7920680542,E,4.6650335946,-0.9628430099,D,-0.4232262893,C-
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",1.516,1.1618577463,B,3.1935436695,5.8659713626,A,0,0.8968111985,B,0,0.3735413719,B-,0.9965877253,0.3589910167,B-,0,0.5797906832,B-,0,0.4011919333,B-,1.3768793304,A-
"Jefferson & Lewis Counties PUMA, New York",0.000,-2.1858055843,E,#DIV/0!,#DIV/0!,#DIV/0!,0.4768435944,0.6335679611,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.4627477854,-0.6196993421,C-,8.8188202247,-3.9065507485,E,18.4867623604,-5.0042546374,E,#DIV/0!,#DIV/0!
"Oswego County PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Onondaga County (Central)--Syracuse City PUMA, New York",1.505,1.137125212,B,0.4602203207,-0.7788482786,D,2.0152182275,-0.2156973401,C,4.3945274658,0.065504123,C,0.6913181066,-0.2006606886,C,0.480682121,0.3352563737,B-,20.0261240119,-5.4543570944,E,-0.7302396704,C-
"Onondaga County (North) PUMA, New York",1.329,0.7495959011,B-,0.5710341871,-0.5094552863,C-,3.0355959527,-0.7790005676,D,14.2207413578,-0.6232707038,C-,0.7552262012,-0.0834977875,C,0,0.5797906832,B-,0,0.4011919333,B-,-0.0378065468,C
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.356,0.8090953035,B,0.3616129747,-1.0185667262,D,2.8641032318,-0.6843273885,C-,110.0990990991,-7.3439262867,E,0.4906891247,-0.5684744012,C-,0,0.5797906832,B-,0,0.4011919333,B-,-1.1178881261,D
"Cayuga & Onondaga (South) Counties PUMA, New York",0.000,-2.1858055843,E,#DIV/0!,#DIV/0!,#DIV/0!,0,0.8968111985,B,#DIV/0!,#DIV/0!,#DIV/0!,1.2824789705,0.8831162917,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Wayne & Seneca Counties PUMA, New York",0.244,-1.6475657697,D-,1.7231575138,2.2914031317,A,0,0.8968111985,B,0,0.3735413719,B-,0.2487747233,-1.0119767971,D,0,0.5797906832,B-,0,0.4011919333,B-,0.2690279645,B-
"Monroe County (East) PUMA, New York",1.409,0.9262090375,B,0.9544829443,0.4227241554,B-,0,0.8968111985,B,0,0.3735413719,B-,1.3179364658,0.948120624,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.820,-0.3737909991,C-,0.5299003871,-0.6094532183,C-,0.5560012837,0.5898686713,B-,1.3534289556,0.2786718927,B-,0.5191353419,-0.5163238662,C-,1.6889697229,-0.2794279709,C-,0,0.4011919333,B-,-0.0727519368,C
